RIS Field	EndNote Field	EndNote Ref. Type	In RIS spec?	Raw Data
AN	Accession Number	Pamphlet	N	AN    Accession Number
AN	Accession Number	Serial	N	AN    Accession Number
AN	Accession Number	Standard	N	AN    Accession Number
AN	Accession Number	Dataset	N	AN    Accession Number
AN	Accession Number	Electronic Book Section	N	AN    Accession Number
AU	Artist	Artwork	Y	AU    Artist
AU	Attribution	Classical Work	Y	AU    Attribution
AU	Author	Journal Article	Y	AU    Author
AU	Author	Book	Y	AU    Author
AU	Author	Thesis	Y	AU    Author
AU	Author	Conference Proceedings	Y	AU    Author
AU	Author	Personal Communication	Y	AU    Author
AU	Author	Book Section	Y	AU    Author
AU	Author	Magazine Article	Y	AU    Author
AU	Author	Report	Y	AU    Author
AU	Author	Audiovisual Material	Y	AU    Author
AU	Author	Web Page	Y	AU    Author
AU	Author	Manuscript	Y	AU    Author
AU	Author	Electronic Article	Y	AU    Author
AU	Author	Electronic Book	Y	AU    Author
AU	Author	Online Database	Y	AU    Author
AU	Author	Generic	Y	AU    Author
AU	Author	Government Document	Y	AU    Author
AU	Author	Conference Paper	Y	AU    Author
AU	Author	Legal Rule or Regulation	Y	AU    Author
AU	Author	Unpublished Work	Y	AU    Author
AU	Author	Ancient Text	Y	AU    Author
AU	Author	Dictionary	Y	AU    Author
AU	Author	Encyclopedia	Y	AU    Author
AU	Author	Aggregated Database	Y	AU    Author
AU	Author	Blog	Y	AU    Author
AU	Author	Catalog	Y	AU    Author
AU	Author	Pamphlet	Y	AU    Author
AU	Author	Serial	Y	AU    Author
AU	Author	Electronic Book Section	Y	AU    Author
AU	Cartographer	Map	Y	AU    Cartographer
AU	Created By	Figure	Y	AU    Created By
AU	Created By	Chart or Table	Y	AU    Created By
AU	Created By	Equation	Y	AU    Created By
AU	Created By	Online Multimedia	Y	AU    Created By
AU	Director	Manuscript-2	Y	AU    Director
AU	Editor	Edited Book	Y	AU    Editor
AU	Institution	Standard	Y	AU    Institution
AU	Inventor	Patent	Y	AU    Inventor
AU	Investigators	Grant	Y	AU    Investigators
AU	Investigators	Dataset	Y	AU    Investigators
AU	Programmer	Computer Program	Y	AU    Programmer
AU	Reporter	Newspaper Article	Y	AU    Reporter
C1	Author Affiliation	Blog	N	C1    Author Affiliation
C1	Cast	Audiovisual Material	N	C1    Cast
C1	Cast	Manuscript-2	N	C1    Cast
C1	Column	Newspaper Article	N	C1    Column
C1	Contact Name	Grant	N	C1    Contact Name
C1	Custom 1	Generic	N	C1    Custom 1
C1	Government Body	Government Document	N	C1    Government Body
C1	Legal Note	Journal Article	N	C1    Legal Note
C1	Place Published	Conference Proceedings	N	C1    Place Published
C1	Place Published	Conference Paper	N	C1    Place Published
C1	Scale	Map	N	C1    Scale
C1	Section	Book Section	N	C1    Section
C1	Section	Serial	N	C1    Section
C1	Section	Electronic Book Section	N	C1    Section
C1	Time Period	Dataset	N	C1    Time Period
C1	Year Cited	Web Page	N	C1    Year Cited
C1	Year Cited	Electronic Article	N	C1    Year Cited
C1	Year Cited	Electronic Book	N	C1    Year Cited
C1	Year Cited	Online Multimedia	N	C1    Year Cited
C2	Area	Map	N	C2    Area
C2	Congress Number	Hearing	N	C2    Congress Number
C2	Congress Number	Government Document	N	C2    Congress Number
C2	Contact Address	Grant	N	C2    Contact Address
C2	Credits	Audiovisual Material	N	C2    Credits
C2	Credits	Manuscript-2	N	C2    Credits
C2	Custom 2	Generic	N	C2    Custom 2
C2	Date Cited	Web Page	N	C2    Date Cited
C2	Date Cited	Electronic Article	N	C2    Date Cited
C2	Date Cited	Electronic Book	N	C2    Date Cited
C2	Date Cited	Online Multimedia	N	C2    Date Cited
C2	Issue Date	Patent	N	C2    Issue Date
C2	PMCID	Journal Article	N	C2    PMCID
C2	Report Number	Serial	N	C2    Report Number
C2	Unit of Observation	Dataset	N	C2    Unit of Observation
C2	Year Published	Conference Proceedings	N	C2    Year Published
C3	Congress Session	Government Document	N	C3    Congress Session
C3	Contact Phone	Grant	N	C3    Contact Phone
C3	Custom 3	Generic	N	C3    Custom 3
C3	Data Type	Dataset	N	C3    Data Type
C3	Designated States	Patent	N	C3    Designated States
C3	PMCID	Electronic Article	N	C3    PMCID
C3	Size	Map	N	C3    Size
C3	Size/Length	Audiovisual Material	N	C3    Size/Length
C3	Size/Length	Artwork	N	C3    Size/Length
C4	Attorney/Agent	Patent	N	C4    Attorney/Agent
C4	Contact Fax	Grant	N	C4    Contact Fax
C4	Custom 4	Generic	N	C4    Custom 4
C4	Dataset(s)	Dataset	N	C4    Dataset(s)
C4	Genre	Manuscript-2	N	C4    Genre
C5	Custom 5	Generic	N	C5    Custom 5
C5	Format	Audiovisual Material	N	C5    Format
C5	Format	Manuscript-2	N	C5    Format
C5	Format/Length	Online Multimedia	N	C5    Format/Length
C5	Funding Number	Grant	N	C5    Funding Number
C5	Packaging Method	Conference Proceedings	N	C5    Packaging Method
C5	Packaging Method	Book Section	N	C5    Packaging Method
C5	Packaging Method	Map	N	C5    Packaging Method
C5	Packaging Method	Catalog	N	C5    Packaging Method
C5	Packaging Method	Pamphlet	N	C5    Packaging Method
C5	Packaging Method	Serial	N	C5    Packaging Method
C5	Packaging Method	Electronic Book Section	N	C5    Packaging Method
C5	Publisher	Statute	N	C5    Publisher
C5	References	Patent	N	C5    References
C6	CFDA Number	Grant	N	C6    CFDA Number
C6	Custom 6	Generic	N	C6    Custom 6
C6	Issue	Report	N	C6    Issue
C6	Legal Status	Patent	N	C6    Legal Status
C6	Volume	Statute	N	C6    Volume
C7	Custom 7	Generic	N	C7    Custom 7
C8	Custom 8	Generic	N	C8    Custom 8
CA	Caption	Journal Article	N	CA    Caption
CA	Caption	Book	N	CA    Caption
CA	Caption	Thesis	N	CA    Caption
CA	Caption	Conference Proceedings	N	CA    Caption
CA	Caption	Personal Communication	N	CA    Caption
CA	Caption	Newspaper Article	N	CA    Caption
CA	Caption	Computer Program	N	CA    Caption
CA	Caption	Book Section	N	CA    Caption
CA	Caption	Magazine Article	N	CA    Caption
CA	Caption	Edited Book	N	CA    Caption
CA	Caption	Report	N	CA    Caption
CA	Caption	Map	N	CA    Caption
CA	Caption	Audiovisual Material	N	CA    Caption
CA	Caption	Artwork	N	CA    Caption
CA	Caption	Patent	N	CA    Caption
CA	Caption	Web Page	N	CA    Caption
CA	Caption	Bill	N	CA    Caption
CA	Caption	Case	N	CA    Caption
CA	Caption	Hearing	N	CA    Caption
CA	Caption	Manuscript	N	CA    Caption
CA	Caption	Manuscript-2	N	CA    Caption
CA	Caption	Statute	N	CA    Caption
CA	Caption	Figure	N	CA    Caption
CA	Caption	Chart or Table	N	CA    Caption
CA	Caption	Equation	N	CA    Caption
CA	Caption	Electronic Article	N	CA    Caption
CA	Caption	Electronic Book	N	CA    Caption
CA	Caption	Online Database	N	CA    Caption
CA	Caption	Generic	N	CA    Caption
CA	Caption	Government Document	N	CA    Caption
CA	Caption	Conference Paper	N	CA    Caption
CA	Caption	Online Multimedia	N	CA    Caption
CA	Caption	Classical Work	N	CA    Caption
CA	Caption	Legal Rule or Regulation	N	CA    Caption
CA	Caption	Unpublished Work	N	CA    Caption
CA	Caption	Ancient Text	N	CA    Caption
CA	Caption	Dictionary	N	CA    Caption
CA	Caption	Grant	N	CA    Caption
CA	Caption	Aggregated Database	N	CA    Caption
CA	Caption	Blog	N	CA    Caption
CA	Caption	Catalog	N	CA    Caption
CA	Caption	Pamphlet	N	CA    Caption
CA	Caption	Serial	N	CA    Caption
CA	Caption	Standard	N	CA    Caption
CA	Caption	Dataset	N	CA    Caption
CA	Caption	Electronic Book Section	N	CA    Caption
CN	Call Number	Journal Article	N	CN    Call Number
CN	Call Number	Book	N	CN    Call Number
CN	Call Number	Thesis	N	CN    Call Number
CN	Call Number	Conference Proceedings	N	CN    Call Number
CN	Call Number	Personal Communication	N	CN    Call Number
CN	Call Number	Newspaper Article	N	CN    Call Number
CN	Call Number	Computer Program	N	CN    Call Number
CN	Call Number	Book Section	N	CN    Call Number
CN	Call Number	Magazine Article	N	CN    Call Number
CN	Call Number	Edited Book	N	CN    Call Number
CN	Call Number	Report	N	CN    Call Number
CN	Call Number	Map	N	CN    Call Number
CN	Call Number	Audiovisual Material	N	CN    Call Number
CN	Call Number	Artwork	N	CN    Call Number
CN	Call Number	Patent	N	CN    Call Number
CN	Call Number	Web Page	N	CN    Call Number
CN	Call Number	Bill	N	CN    Call Number
CN	Call Number	Case	N	CN    Call Number
CN	Call Number	Hearing	N	CN    Call Number
CN	Call Number	Manuscript	N	CN    Call Number
CN	Call Number	Manuscript-2	N	CN    Call Number
CN	Call Number	Statute	N	CN    Call Number
CN	Call Number	Figure	N	CN    Call Number
CN	Call Number	Chart or Table	N	CN    Call Number
CN	Call Number	Equation	N	CN    Call Number
CN	Call Number	Electronic Book	N	CN    Call Number
CN	Call Number	Generic	N	CN    Call Number
CN	Call Number	Classical Work	N	CN    Call Number
CN	Call Number	Legal Rule or Regulation	N	CN    Call Number
